human,rat,mouse
RN7SKP287,7SK,7SK
SATB2,Satb2,Satb2
IL4,Il4,Il4
LRRC23,Lrrc23,Lrrc23
RBM46,Rbm46,Rbm46
THRA,Thra,Thra
ZC3H4,Zc3h4,Zc3h4
EOLA1,RGD1562747,Eola1
NCOA7,Ncoa7,Ncoa7
ATP1B4,Atp1b4,NA
SLC6A2,Slc6a2,Slc6a2
IRS2,Irs2,Irs2
PUS1,Pus1,Pus1
C1QTNF7,C1qtnf7,C1qtnf7
SNORD33,SNORD33,SNORD33
ZKSCAN2,Zkscan2,Zkscan2
SNORA62,SNORA62,NA
LIME1,Lime1,Lime1
SSR4,Ssr4,Ssr4
GPRC6A,Gprc6a,Gprc6a
RN7SKP152,7SK,NA
PSG7,LOC103689942,Ceacam1
PSG7,LOC103689942,Ceacam2
PSG7,LOC103689942,Ceacam10
PSG7,Ceacam6,Ceacam1
PSG7,Ceacam6,Ceacam2
PSG7,Ceacam6,Ceacam10
PSG7,Ceacam4,Ceacam1
PSG7,Ceacam4,Ceacam2
PSG7,Ceacam4,Ceacam10
,Pwp2,Pwp2
GDF5,Gdf5,Gdf5
ZNF746,Zfp746,Zfp746
SAFB,Safb,Safb
PARD6A,Pard6a,Pard6a
EXOC3,Exoc3,Exoc3
GAMT,Gamt,Gamt
ETHE1,Ethe1,Ethe1
SLAMF6,Slamf6,Slamf6
MRPL16,Mrpl16,Mrpl16
RNU4-71P,U4,Gm26425
CCL8,Ccl12,Ccl12
CCL8,Ccl12,Ccl8
AGPAT5,Agpat5,Agpat5
NANOS2,Nanos2,Nanos2
GABRA6,Gabra6,Gabra6
KDELR1,Kdelr1,Kdelr1
TGFBR2,Tgfbr2,Tgfbr2
NKX6-2,Nkx6-2,Nkx6-2
TNFRSF13C,Tnfrsf13c,Tnfrsf13c
TMEM154,Tmem154,Tmem154
RASGRF1,Rasgrf1,Rasgrf1
PTPN1,Ptpn1,Ptpn1
CALN1,Caln1,Caln1
ZNF365,Zfp365,Zfp365
TEX54,1700092M07Rik,1700092M07Rik
HMGCS2,Hmgcs2,Hmgcs2
GFUS,Tsta3,Gfus
VIT,Vit,Vit
LINC02218,Taf11,Taf11
GRM6,Grm6,Grm6
ATAD3A,Atad3a,Atad3a
PRTFDC1,Prtfdc1,NA
TNKS1BP1,Tnks1bp1,Tnks1bp1
ANAPC15,Anapc15,Anapc15-ps
GPHA2,Gpha2,Gpha2
ERRFI1,Errfi1,Errfi1
FAM210A,Fam210a,Fam210a
GPR143,Gpr143,Gpr143
PHF19,Phf19,Phf19
,Evi2a,Evi2a
RNF183,Rnf183,Rnf183
SRI,Sri,Sri
MRPL24,mrpl24,Mrpl24
ZNF488,Zfp488,Zfp488
GFER,LOC100912596,Gfer
RN7SKP19,7SK,7SK
,Zfp956,Zfy1
,Zfp956,Zfy2
,Zfp956,Zfp956
,AC133613.2,
,AC133613.2,
,AC133613.2,
,AC133613.2,
GYS2,Gys2,Gys2
ZNF398,Zfp398,Zfp398
ST8SIA5,St8sia5,St8sia5
DNAI4,Wdr78,Dnai4
INTS9,Ints9,Ints9
INTS9,Ints9,Ints9
EDC3,Edc3,Edc3
PCDHGB4,Pcdhgb4,Pcdhgb4
ELOVL6,Elovl6,Elovl6
ELOVL6,LOC102549542,Elovl6
ELOVL6,LOC102549542,Elovl6
HSF5,Hsf5,Hsf5
CHRNA10,Chrna10,Chrna10
GABRA3,Gabra3,NA
RNU6-649P,U6,Gm22087
SLC44A3,Slc44a3,Slc44a3
TARBP1,Tarbp1,Tarbp1
GAD1,Gad1,Gad1
SUSD4,Susd4,Susd4
TXNDC5,Txndc5,Txndc5
ZNRF4,Znrf4,Znrf4
TRAV22,AABR07017639.2,Trav13d-1
TRAV22,AABR07017639.2,Trav13d-2
TRAV22,AABR07017639.2,Trav13d-3
TRAV22,AABR07017639.2,Trav13d-4
TRAV22,AABR07017639.2,Trav13n-1
TRAV22,AABR07017639.2,Trav13n-2
TRAV22,AABR07017639.2,Trav13n-3
TRAV22,AABR07017639.2,Trav13n-4
TRAV22,AABR07017639.2,Trav13-1
TRAV22,AABR07017639.2,Trav13-2
TRAV22,AABR07017639.2,Trav13-4-dv7
TRAV22,AABR07017639.2,Trav13-5
DLL1,Dll1,Dll1
IRGM,Irgm,Irgm1
IRGM,Irgm,Igtp
IRGM,Irgm,Irgm2
SNCG,Sncg,Sncg
LRCH3,Lrch3,Lrch3
POU2F2,Pou2f2,Pou2f2
TTC30A,Ttc30b,Ttc30b
TTC30A,Ttc30b,Ttc30a2
TTC30A,Ttc30b,Ttc30a1
HOXB5,Hoxb5,Hoxb5
SCUBE2,Scube2,Scube2
TDRD9,Tdrd9,Tdrd9
RFK,Rfk,Rfk
BOLA1,Bola1,Bola1
CNTNAP4,Cntnap4,Cntnap4
COX7C,Cox7c,Cox7c
FLOT2,Flot2,Flot2
CCND3,Ccnd3,Ccnd3
SNORD72,,Snord72
TAF11L13,Taf11,Taf11
IGSF8,Igsf8,Igsf8
HDAC9,Hdac9,Hdac9
DDIT4L,Ddit4l2,Ddit4l
DDIT4L,Ddit4l2,Ddit4l
PNCK,Pnck,Pnck
LIMS1,Lims1,NA
KLC2,Klc2,Klc2
CNPY4,Cnpy4,Cnpy4
OGA,Oga,Oga
TTC24,Ttc24,Ttc24
,,
,,
,,Gm24147
,,Gm25697
,,Gm25480
,,Gm24151
,,Gm24029
,AABR07001807.2,
,AABR07001807.2,
,AABR07001807.2,Gm24147
,AABR07001807.2,Gm25697
,AABR07001807.2,Gm25480
,AABR07001807.2,Gm24151
,AABR07001807.2,Gm24029
SLC12A4,Slc12a4,Slc12a4
SASS6,Sass6,Sass6
UMOD,Umod,Umod
MIR129-1,Mir129-1,Mir129-1
CDK20,Cdk20,Cdk20
SS18,Ss18,Ss18
,Rft1,Rft1
FAM168A,Fam168a,Fam168a
PRAMEF4,RGD1561699,
PRAMEF4,RGD1561699,
PRAMEF4,RGD1561699,
PRAMEF4,RGD1561699,
PRAMEF4,RGD1561699,
PRAMEF4,RGD1561699,
PRAMEF4,RGD1561699,
PRAMEF4,RGD1561699,
PRAMEF4,RGD1561699,
PRAMEF4,RGD1561699,
PRAMEF4,RGD1561699,
PRAMEF4,RGD1561699,
PRAMEF4,RGD1561699,
PRAMEF4,RGD1561699,
PRAMEF4,RGD1561699,
PRAMEF4,RGD1561699,
PRAMEF4,RGD1561699,
PRAMEF4,RGD1561699,
PRAMEF4,RGD1561699,
PRAMEF4,RGD1561699,
PRAMEF4,RGD1561699,
PRAMEF4,RGD1561699,Gm16367
PRAMEF4,RGD1561699,
PRAMEF4,RGD1561699,
PRAMEF4,RGD1561699,
PRAMEF4,RGD1561699,
PRAMEF4,RGD1561699,
PRAMEF4,RGD1561699,
PRAMEF4,RGD1561699,
PRAMEF4,RGD1561699,Oog1
PRAMEF4,RGD1561699,Gm2042
PRAMEF4,RGD1561699,Pramel51
PRAMEF4,RGD1561699,Pramel32
PRAMEF4,RGD1561699,Pramel17
PRAMEF4,RGD1561699,C130073F10Rik
PRAMEF4,RGD1561699,Pramel18
PRAMEF4,RGD1561699,Pramel19
PRAMEF4,RGD1561699,Gm12790
PRAMEF4,RGD1561699,Gm12789
PRAMEF4,RGD1561699,Pramel21
PRAMEF4,RGD1561699,Pramel22
PRAMEF4,RGD1561699,Pramel23
PRAMEF4,RGD1561699,Pramel24
PRAMEF4,RGD1561699,Pramel25
PRAMEF4,RGD1561699,Pramel26
PRAMEF4,RGD1561699,Pramel27
PRAMEF4,RGD1561699,Pramel11
PRAMEF4,RGD1561699,Pramel16
PRAMEF4,RGD1561699,Pramel28
PRAMEF4,RGD1561699,Pramel14
PRAMEF4,RGD1561699,Pramel4
PRAMEF4,RGD1561699,Gm13102
PRAMEF4,RGD1561699,Oog3
PRAMEF4,RGD1561699,Oog2
PRAMEF4,RGD1561699,Pramel29
PRAMEF4,RGD1561699,Pramel5
PRAMEF4,RGD1561699,Pramel30
PRAMEF4,RGD1561699,Pramel31
PRAMEF4,RGD1561699,Pramel15
PRAMEF4,RGD1561699,Pramel13
PRAMEF4,RGD1561699,Pramel1
PRAMEF4,RGD1561699,Pramel12
PRAMEF4,RGD1561699,Oog4
PRAMEF4,RGD1561699,Gm13043
PRAMEF4,RGD1561699,Gm13040
PRAMEF4,RGD1561699,Gm13057
PRAMEF4,RGD1561699,Pramel20
PRAMEF4,RGD1561699,Pramel33
PRAMEF4,RGD1561699,Pramel34
PRAMEF4,RGD1561699,Pramel35
PRAMEF4,RGD1561699,Pramel36
PRAMEF4,RGD1561699,Pramel37
PRAMEF4,RGD1561699,Gm6351
PRAMEF4,RGD1561699,Pramel38
PRAMEF4,RGD1561699,Pramel39
PRAMEF4,RGD1561699,Pramel40
PRAMEF4,RGD1561699,AA792892
PRAMEF4,RGD1561699,Pramel41
PRAMEF4,RGD1561699,Pramel41
PRAMEF4,RGD1561699,Pramel42
PRAMEF4,RGD1561699,Pramel43
PRAMEF4,RGD1561699,Pramel44
PRAMEF4,RGD1561699,Gm6205
PRAMEF4,RGD1561699,Gm3183
PRAMEF4,RGD1561699,Gm6367
PRAMEF4,RGD1561699,Pramel45
PRAMEF4,RGD1561699,Pramel45
PRAMEF4,RGD1561699,Pramel45
PRAMEF4,RGD1561699,Pramel45
PRAMEF4,RGD1561699,Gm16513
PRAMEF4,RGD1561699,Pramel46
PRAMEF4,RGD1561699,Pramel47
PRAMEF4,RGD1561699,Pramel48
PRAMEF4,RGD1561699,Gm3286
PRAMEF4,RGD1561699,Pramel49
PRAMEF4,RGD1561699,Pramel50
PRAMEF4,RGD1561699,Gm7982
PRAMEF4,RGD1561699,E330014E10Rik
PRAMEF4,RGD1561699,Pramel7
PRAMEF4,RGD1561699,Pramel6
PRAMEF4,RGD1561212,
PRAMEF4,RGD1561212,
PRAMEF4,RGD1561212,
PRAMEF4,RGD1561212,
PRAMEF4,RGD1561212,
PRAMEF4,RGD1561212,
PRAMEF4,RGD1561212,
PRAMEF4,RGD1561212,
PRAMEF4,RGD1561212,
PRAMEF4,RGD1561212,
PRAMEF4,RGD1561212,
PRAMEF4,RGD1561212,
PRAMEF4,RGD1561212,
PRAMEF4,RGD1561212,
PRAMEF4,RGD1561212,
PRAMEF4,RGD1561212,
PRAMEF4,RGD1561212,
PRAMEF4,RGD1561212,
PRAMEF4,RGD1561212,
PRAMEF4,RGD1561212,
PRAMEF4,RGD1561212,
PRAMEF4,RGD1561212,Gm16367
PRAMEF4,RGD1561212,
PRAMEF4,RGD1561212,
PRAMEF4,RGD1561212,
PRAMEF4,RGD1561212,
PRAMEF4,RGD1561212,
PRAMEF4,RGD1561212,
PRAMEF4,RGD1561212,
PRAMEF4,RGD1561212,Oog1
PRAMEF4,RGD1561212,Gm2042
PRAMEF4,RGD1561212,Pramel51
PRAMEF4,RGD1561212,Pramel32
PRAMEF4,RGD1561212,Pramel17
PRAMEF4,RGD1561212,C130073F10Rik
PRAMEF4,RGD1561212,Pramel18
PRAMEF4,RGD1561212,Pramel19
PRAMEF4,RGD1561212,Gm12790
PRAMEF4,RGD1561212,Gm12789
PRAMEF4,RGD1561212,Pramel21
PRAMEF4,RGD1561212,Pramel22
PRAMEF4,RGD1561212,Pramel23
PRAMEF4,RGD1561212,Pramel24
PRAMEF4,RGD1561212,Pramel25
PRAMEF4,RGD1561212,Pramel26
PRAMEF4,RGD1561212,Pramel27
PRAMEF4,RGD1561212,Pramel11
PRAMEF4,RGD1561212,Pramel16
PRAMEF4,RGD1561212,Pramel28
PRAMEF4,RGD1561212,Pramel14
PRAMEF4,RGD1561212,Pramel4
PRAMEF4,RGD1561212,Gm13102
PRAMEF4,RGD1561212,Oog3
PRAMEF4,RGD1561212,Oog2
PRAMEF4,RGD1561212,Pramel29
PRAMEF4,RGD1561212,Pramel5
PRAMEF4,RGD1561212,Pramel30
PRAMEF4,RGD1561212,Pramel31
PRAMEF4,RGD1561212,Pramel15
PRAMEF4,RGD1561212,Pramel13
PRAMEF4,RGD1561212,Pramel1
PRAMEF4,RGD1561212,Pramel12
PRAMEF4,RGD1561212,Oog4
PRAMEF4,RGD1561212,Gm13043
PRAMEF4,RGD1561212,Gm13040
PRAMEF4,RGD1561212,Gm13057
PRAMEF4,RGD1561212,Pramel20
PRAMEF4,RGD1561212,Pramel33
PRAMEF4,RGD1561212,Pramel34
PRAMEF4,RGD1561212,Pramel35
PRAMEF4,RGD1561212,Pramel36
PRAMEF4,RGD1561212,Pramel37
PRAMEF4,RGD1561212,Gm6351
PRAMEF4,RGD1561212,Pramel38
PRAMEF4,RGD1561212,Pramel39
PRAMEF4,RGD1561212,Pramel40
PRAMEF4,RGD1561212,AA792892
PRAMEF4,RGD1561212,Pramel41
PRAMEF4,RGD1561212,Pramel41
PRAMEF4,RGD1561212,Pramel42
PRAMEF4,RGD1561212,Pramel43
PRAMEF4,RGD1561212,Pramel44
PRAMEF4,RGD1561212,Gm6205
PRAMEF4,RGD1561212,Gm3183
PRAMEF4,RGD1561212,Gm6367
PRAMEF4,RGD1561212,Pramel45
PRAMEF4,RGD1561212,Pramel45
PRAMEF4,RGD1561212,Pramel45
PRAMEF4,RGD1561212,Pramel45
PRAMEF4,RGD1561212,Gm16513
PRAMEF4,RGD1561212,Pramel46
PRAMEF4,RGD1561212,Pramel47
PRAMEF4,RGD1561212,Pramel48
PRAMEF4,RGD1561212,Gm3286
PRAMEF4,RGD1561212,Pramel49
PRAMEF4,RGD1561212,Pramel50
PRAMEF4,RGD1561212,Gm7982
PRAMEF4,RGD1561212,E330014E10Rik
PRAMEF4,RGD1561212,Pramel7
PRAMEF4,RGD1561212,Pramel6
PRAMEF4,Pramef27,
PRAMEF4,Pramef27,
PRAMEF4,Pramef27,
PRAMEF4,Pramef27,
PRAMEF4,Pramef27,
PRAMEF4,Pramef27,
PRAMEF4,Pramef27,
PRAMEF4,Pramef27,
PRAMEF4,Pramef27,
PRAMEF4,Pramef27,
PRAMEF4,Pramef27,
PRAMEF4,Pramef27,
PRAMEF4,Pramef27,
PRAMEF4,Pramef27,
PRAMEF4,Pramef27,
PRAMEF4,Pramef27,
PRAMEF4,Pramef27,
PRAMEF4,Pramef27,
PRAMEF4,Pramef27,
PRAMEF4,Pramef27,
PRAMEF4,Pramef27,
PRAMEF4,Pramef27,Gm16367
PRAMEF4,Pramef27,
PRAMEF4,Pramef27,
PRAMEF4,Pramef27,
PRAMEF4,Pramef27,
PRAMEF4,Pramef27,
PRAMEF4,Pramef27,
PRAMEF4,Pramef27,
PRAMEF4,Pramef27,Oog1
PRAMEF4,Pramef27,Gm2042
PRAMEF4,Pramef27,Pramel51
PRAMEF4,Pramef27,Pramel32
PRAMEF4,Pramef27,Pramel17
PRAMEF4,Pramef27,C130073F10Rik
PRAMEF4,Pramef27,Pramel18
PRAMEF4,Pramef27,Pramel19
PRAMEF4,Pramef27,Gm12790
PRAMEF4,Pramef27,Gm12789
PRAMEF4,Pramef27,Pramel21
PRAMEF4,Pramef27,Pramel22
PRAMEF4,Pramef27,Pramel23
PRAMEF4,Pramef27,Pramel24
PRAMEF4,Pramef27,Pramel25
PRAMEF4,Pramef27,Pramel26
PRAMEF4,Pramef27,Pramel27
PRAMEF4,Pramef27,Pramel11
PRAMEF4,Pramef27,Pramel16
PRAMEF4,Pramef27,Pramel28
PRAMEF4,Pramef27,Pramel14
PRAMEF4,Pramef27,Pramel4
PRAMEF4,Pramef27,Gm13102
PRAMEF4,Pramef27,Oog3
PRAMEF4,Pramef27,Oog2
PRAMEF4,Pramef27,Pramel29
PRAMEF4,Pramef27,Pramel5
PRAMEF4,Pramef27,Pramel30
PRAMEF4,Pramef27,Pramel31
PRAMEF4,Pramef27,Pramel15
PRAMEF4,Pramef27,Pramel13
PRAMEF4,Pramef27,Pramel1
PRAMEF4,Pramef27,Pramel12
PRAMEF4,Pramef27,Oog4
PRAMEF4,Pramef27,Gm13043
PRAMEF4,Pramef27,Gm13040
PRAMEF4,Pramef27,Gm13057
PRAMEF4,Pramef27,Pramel20
PRAMEF4,Pramef27,Pramel33
PRAMEF4,Pramef27,Pramel34
PRAMEF4,Pramef27,Pramel35
PRAMEF4,Pramef27,Pramel36
PRAMEF4,Pramef27,Pramel37
PRAMEF4,Pramef27,Gm6351
PRAMEF4,Pramef27,Pramel38
PRAMEF4,Pramef27,Pramel39
PRAMEF4,Pramef27,Pramel40
PRAMEF4,Pramef27,AA792892
PRAMEF4,Pramef27,Pramel41
PRAMEF4,Pramef27,Pramel41
PRAMEF4,Pramef27,Pramel42
PRAMEF4,Pramef27,Pramel43
PRAMEF4,Pramef27,Pramel44
PRAMEF4,Pramef27,Gm6205
PRAMEF4,Pramef27,Gm3183
PRAMEF4,Pramef27,Gm6367
PRAMEF4,Pramef27,Pramel45
PRAMEF4,Pramef27,Pramel45
PRAMEF4,Pramef27,Pramel45
PRAMEF4,Pramef27,Pramel45
PRAMEF4,Pramef27,Gm16513
PRAMEF4,Pramef27,Pramel46
PRAMEF4,Pramef27,Pramel47
PRAMEF4,Pramef27,Pramel48
PRAMEF4,Pramef27,Gm3286
PRAMEF4,Pramef27,Pramel49
PRAMEF4,Pramef27,Pramel50
PRAMEF4,Pramef27,Gm7982
PRAMEF4,Pramef27,E330014E10Rik
PRAMEF4,Pramef27,Pramel7
PRAMEF4,Pramef27,Pramel6
PRAMEF4,RGD1561226,
PRAMEF4,RGD1561226,
PRAMEF4,RGD1561226,
PRAMEF4,RGD1561226,
PRAMEF4,RGD1561226,
PRAMEF4,RGD1561226,
PRAMEF4,RGD1561226,
PRAMEF4,RGD1561226,
PRAMEF4,RGD1561226,
PRAMEF4,RGD1561226,
PRAMEF4,RGD1561226,
PRAMEF4,RGD1561226,
PRAMEF4,RGD1561226,
PRAMEF4,RGD1561226,
PRAMEF4,RGD1561226,
PRAMEF4,RGD1561226,
PRAMEF4,RGD1561226,
PRAMEF4,RGD1561226,
PRAMEF4,RGD1561226,
PRAMEF4,RGD1561226,
PRAMEF4,RGD1561226,
PRAMEF4,RGD1561226,Gm16367
PRAMEF4,RGD1561226,
PRAMEF4,RGD1561226,
PRAMEF4,RGD1561226,
PRAMEF4,RGD1561226,
PRAMEF4,RGD1561226,
PRAMEF4,RGD1561226,
PRAMEF4,RGD1561226,
PRAMEF4,RGD1561226,Oog1
PRAMEF4,RGD1561226,Gm2042
PRAMEF4,RGD1561226,Pramel51
PRAMEF4,RGD1561226,Pramel32
PRAMEF4,RGD1561226,Pramel17
PRAMEF4,RGD1561226,C130073F10Rik
PRAMEF4,RGD1561226,Pramel18
PRAMEF4,RGD1561226,Pramel19
PRAMEF4,RGD1561226,Gm12790
PRAMEF4,RGD1561226,Gm12789
PRAMEF4,RGD1561226,Pramel21
PRAMEF4,RGD1561226,Pramel22
PRAMEF4,RGD1561226,Pramel23
PRAMEF4,RGD1561226,Pramel24
PRAMEF4,RGD1561226,Pramel25
PRAMEF4,RGD1561226,Pramel26
PRAMEF4,RGD1561226,Pramel27
PRAMEF4,RGD1561226,Pramel11
PRAMEF4,RGD1561226,Pramel16
PRAMEF4,RGD1561226,Pramel28
PRAMEF4,RGD1561226,Pramel14
PRAMEF4,RGD1561226,Pramel4
PRAMEF4,RGD1561226,Gm13102
PRAMEF4,RGD1561226,Oog3
PRAMEF4,RGD1561226,Oog2
PRAMEF4,RGD1561226,Pramel29
PRAMEF4,RGD1561226,Pramel5
PRAMEF4,RGD1561226,Pramel30
PRAMEF4,RGD1561226,Pramel31
PRAMEF4,RGD1561226,Pramel15
PRAMEF4,RGD1561226,Pramel13
PRAMEF4,RGD1561226,Pramel1
PRAMEF4,RGD1561226,Pramel12
PRAMEF4,RGD1561226,Oog4
PRAMEF4,RGD1561226,Gm13043
PRAMEF4,RGD1561226,Gm13040
PRAMEF4,RGD1561226,Gm13057
PRAMEF4,RGD1561226,Pramel20
PRAMEF4,RGD1561226,Pramel33
PRAMEF4,RGD1561226,Pramel34
PRAMEF4,RGD1561226,Pramel35
PRAMEF4,RGD1561226,Pramel36
PRAMEF4,RGD1561226,Pramel37
PRAMEF4,RGD1561226,Gm6351
PRAMEF4,RGD1561226,Pramel38
PRAMEF4,RGD1561226,Pramel39
PRAMEF4,RGD1561226,Pramel40
PRAMEF4,RGD1561226,AA792892
PRAMEF4,RGD1561226,Pramel41
PRAMEF4,RGD1561226,Pramel41
PRAMEF4,RGD1561226,Pramel42
PRAMEF4,RGD1561226,Pramel43
PRAMEF4,RGD1561226,Pramel44
PRAMEF4,RGD1561226,Gm6205
PRAMEF4,RGD1561226,Gm3183
PRAMEF4,RGD1561226,Gm6367
PRAMEF4,RGD1561226,Pramel45
PRAMEF4,RGD1561226,Pramel45
PRAMEF4,RGD1561226,Pramel45
PRAMEF4,RGD1561226,Pramel45
PRAMEF4,RGD1561226,Gm16513
PRAMEF4,RGD1561226,Pramel46
PRAMEF4,RGD1561226,Pramel47
PRAMEF4,RGD1561226,Pramel48
PRAMEF4,RGD1561226,Gm3286
PRAMEF4,RGD1561226,Pramel49
PRAMEF4,RGD1561226,Pramel50
PRAMEF4,RGD1561226,Gm7982
PRAMEF4,RGD1561226,E330014E10Rik
PRAMEF4,RGD1561226,Pramel7
PRAMEF4,RGD1561226,Pramel6
PRAMEF4,RGD1565129,
PRAMEF4,RGD1565129,
PRAMEF4,RGD1565129,
PRAMEF4,RGD1565129,
PRAMEF4,RGD1565129,
PRAMEF4,RGD1565129,
PRAMEF4,RGD1565129,
PRAMEF4,RGD1565129,
PRAMEF4,RGD1565129,
PRAMEF4,RGD1565129,
PRAMEF4,RGD1565129,
PRAMEF4,RGD1565129,
PRAMEF4,RGD1565129,
PRAMEF4,RGD1565129,
PRAMEF4,RGD1565129,
PRAMEF4,RGD1565129,
PRAMEF4,RGD1565129,
PRAMEF4,RGD1565129,
PRAMEF4,RGD1565129,
PRAMEF4,RGD1565129,
PRAMEF4,RGD1565129,
PRAMEF4,RGD1565129,Gm16367
PRAMEF4,RGD1565129,
PRAMEF4,RGD1565129,
PRAMEF4,RGD1565129,
PRAMEF4,RGD1565129,
PRAMEF4,RGD1565129,
PRAMEF4,RGD1565129,
PRAMEF4,RGD1565129,
PRAMEF4,RGD1565129,Oog1
PRAMEF4,RGD1565129,Gm2042
PRAMEF4,RGD1565129,Pramel51
PRAMEF4,RGD1565129,Pramel32
PRAMEF4,RGD1565129,Pramel17
PRAMEF4,RGD1565129,C130073F10Rik
PRAMEF4,RGD1565129,Pramel18
PRAMEF4,RGD1565129,Pramel19
PRAMEF4,RGD1565129,Gm12790
PRAMEF4,RGD1565129,Gm12789
PRAMEF4,RGD1565129,Pramel21
PRAMEF4,RGD1565129,Pramel22
PRAMEF4,RGD1565129,Pramel23
PRAMEF4,RGD1565129,Pramel24
PRAMEF4,RGD1565129,Pramel25
PRAMEF4,RGD1565129,Pramel26
PRAMEF4,RGD1565129,Pramel27
PRAMEF4,RGD1565129,Pramel11
PRAMEF4,RGD1565129,Pramel16
PRAMEF4,RGD1565129,Pramel28
PRAMEF4,RGD1565129,Pramel14
PRAMEF4,RGD1565129,Pramel4
PRAMEF4,RGD1565129,Gm13102
PRAMEF4,RGD1565129,Oog3
PRAMEF4,RGD1565129,Oog2
PRAMEF4,RGD1565129,Pramel29
PRAMEF4,RGD1565129,Pramel5
PRAMEF4,RGD1565129,Pramel30
PRAMEF4,RGD1565129,Pramel31
PRAMEF4,RGD1565129,Pramel15
PRAMEF4,RGD1565129,Pramel13
PRAMEF4,RGD1565129,Pramel1
PRAMEF4,RGD1565129,Pramel12
PRAMEF4,RGD1565129,Oog4
PRAMEF4,RGD1565129,Gm13043
PRAMEF4,RGD1565129,Gm13040
PRAMEF4,RGD1565129,Gm13057
PRAMEF4,RGD1565129,Pramel20
PRAMEF4,RGD1565129,Pramel33
PRAMEF4,RGD1565129,Pramel34
PRAMEF4,RGD1565129,Pramel35
PRAMEF4,RGD1565129,Pramel36
PRAMEF4,RGD1565129,Pramel37
PRAMEF4,RGD1565129,Gm6351
PRAMEF4,RGD1565129,Pramel38
PRAMEF4,RGD1565129,Pramel39
PRAMEF4,RGD1565129,Pramel40
PRAMEF4,RGD1565129,AA792892
PRAMEF4,RGD1565129,Pramel41
PRAMEF4,RGD1565129,Pramel41
PRAMEF4,RGD1565129,Pramel42
PRAMEF4,RGD1565129,Pramel43
PRAMEF4,RGD1565129,Pramel44
PRAMEF4,RGD1565129,Gm6205
PRAMEF4,RGD1565129,Gm3183
PRAMEF4,RGD1565129,Gm6367
PRAMEF4,RGD1565129,Pramel45
PRAMEF4,RGD1565129,Pramel45
PRAMEF4,RGD1565129,Pramel45
PRAMEF4,RGD1565129,Pramel45
PRAMEF4,RGD1565129,Gm16513
PRAMEF4,RGD1565129,Pramel46
PRAMEF4,RGD1565129,Pramel47
PRAMEF4,RGD1565129,Pramel48
PRAMEF4,RGD1565129,Gm3286
PRAMEF4,RGD1565129,Pramel49
PRAMEF4,RGD1565129,Pramel50
PRAMEF4,RGD1565129,Gm7982
PRAMEF4,RGD1565129,E330014E10Rik
PRAMEF4,RGD1565129,Pramel7
PRAMEF4,RGD1565129,Pramel6
PRAMEF4,LOC685667,
PRAMEF4,LOC685667,
PRAMEF4,LOC685667,
PRAMEF4,LOC685667,
PRAMEF4,LOC685667,
PRAMEF4,LOC685667,
PRAMEF4,LOC685667,
PRAMEF4,LOC685667,
PRAMEF4,LOC685667,
PRAMEF4,LOC685667,
PRAMEF4,LOC685667,
PRAMEF4,LOC685667,
PRAMEF4,LOC685667,
PRAMEF4,LOC685667,
PRAMEF4,LOC685667,
PRAMEF4,LOC685667,
PRAMEF4,LOC685667,
PRAMEF4,LOC685667,
PRAMEF4,LOC685667,
PRAMEF4,LOC685667,
PRAMEF4,LOC685667,
PRAMEF4,LOC685667,Gm16367
PRAMEF4,LOC685667,
PRAMEF4,LOC685667,
PRAMEF4,LOC685667,
PRAMEF4,LOC685667,
PRAMEF4,LOC685667,
PRAMEF4,LOC685667,
PRAMEF4,LOC685667,
PRAMEF4,LOC685667,Oog1
PRAMEF4,LOC685667,Gm2042
PRAMEF4,LOC685667,Pramel51
PRAMEF4,LOC685667,Pramel32
PRAMEF4,LOC685667,Pramel17
PRAMEF4,LOC685667,C130073F10Rik
PRAMEF4,LOC685667,Pramel18
PRAMEF4,LOC685667,Pramel19
PRAMEF4,LOC685667,Gm12790
PRAMEF4,LOC685667,Gm12789
PRAMEF4,LOC685667,Pramel21
PRAMEF4,LOC685667,Pramel22
PRAMEF4,LOC685667,Pramel23
PRAMEF4,LOC685667,Pramel24
PRAMEF4,LOC685667,Pramel25
PRAMEF4,LOC685667,Pramel26
PRAMEF4,LOC685667,Pramel27
PRAMEF4,LOC685667,Pramel11
PRAMEF4,LOC685667,Pramel16
PRAMEF4,LOC685667,Pramel28
PRAMEF4,LOC685667,Pramel14
PRAMEF4,LOC685667,Pramel4
PRAMEF4,LOC685667,Gm13102
PRAMEF4,LOC685667,Oog3
PRAMEF4,LOC685667,Oog2
PRAMEF4,LOC685667,Pramel29
PRAMEF4,LOC685667,Pramel5
PRAMEF4,LOC685667,Pramel30
PRAMEF4,LOC685667,Pramel31
PRAMEF4,LOC685667,Pramel15
PRAMEF4,LOC685667,Pramel13
PRAMEF4,LOC685667,Pramel1
PRAMEF4,LOC685667,Pramel12
PRAMEF4,LOC685667,Oog4
PRAMEF4,LOC685667,Gm13043
PRAMEF4,LOC685667,Gm13040
PRAMEF4,LOC685667,Gm13057
PRAMEF4,LOC685667,Pramel20
PRAMEF4,LOC685667,Pramel33
PRAMEF4,LOC685667,Pramel34
PRAMEF4,LOC685667,Pramel35
PRAMEF4,LOC685667,Pramel36
PRAMEF4,LOC685667,Pramel37
PRAMEF4,LOC685667,Gm6351
PRAMEF4,LOC685667,Pramel38
